Quantity,Name,Scryfall ID
1,Carnelian Orb of Dragonkind,f0c07546-c5a1-4dfc-b5e1-d697578a8c11
1,Carom,a65cd601-af87-4543-8e82-16156a74012d
1,Carrion Cruiser,dc00fdee-3d24-4360-a4d2-ffd3c08a462d
1,Cartographer's Companion,dbd8115e-4cb3-49b6-b74f-8fcfa28c6404
1,Cartouche of Strength,d6bb237c-4e39-4879-90b4-2f507a90d3d7
1,Case of the Stashed Skeleton,4b120cbe-f0af-46c5-863f-03ecadf0435c
1,Catacomb Slug,d30d6df7-6199-4b06-9d45-785ee1e2ed3b
1,Cat-Gator,ec83a825-79e6-42a4-919c-3bc498ff4433
2,Cathartic Reunion,a5e23253-873d-4c0b-b446-ea2c21af11dd
1,Cat-Owl,d7df3391-dbe5-4eb4-85c1-037c5f3ea971
1,Cat-Owl,d7df3391-dbe5-4eb4-85c1-037c5f3ea971
1,Cat-Owl,d7df3391-dbe5-4eb4-85c1-037c5f3ea971
1,Caught Red-Handed,95bc5f89-2f01-40c4-9883-4c90ab89fcbb
1,Cauldron Familiar,9a539a23-8383-4525-82dd-acfe1d219fe9
1,Cavernous Maw,2a51ebf6-a465-42e2-82b7-d2cb928ca632
1,Cavernous Maw,2a51ebf6-a465-42e2-82b7-d2cb928ca632
1,Cavern Stomper,decdfd6b-55ab-47fd-9f98-1845261f1caf
2,Cavern Stomper,decdfd6b-55ab-47fd-9f98-1845261f1caf
1,Cavern Thoctar,34748acb-7045-42b6-a93f-a3f11a1bc839
1,Cemetery Recruitment,34a80873-86d7-44a9-894b-65e8f77dd2ea
3,Cenote Scout,4ce4b7bc-636b-4723-a7c1-2c859f333492
2,Cerebral Confiscation,3c3c3d15-b775-44a2-91ea-4abcc3cf2dba
1,Cessation,3a113f0c-8249-427b-979b-10898ec66a3a
2,Chained Throatseeker,3a7bb447-c2b0-429e-bf82-02d6a966fe73
1,Chainflail Centipede,24b8efe0-2f7b-4ada-a1b9-9c5f9e6a114d
1,Chainwhip Cyclops,99489029-f1e0-4b6c-a300-95e940e01112
1,"Chameleon, Master of Disguise",43892ce7-f63a-4294-922b-8f879f684033
2,Chandra's Fury,d2b85237-98a8-4b52-9cc6-6fd14849b069
1,Chandra's Outrage,edbfe793-6644-43ed-bbe1-e122c01c5e53
1,Channel the Suns,7bf574c8-a7e0-482e-bb41-680454988097
1,Charge of the Mites,42060b9d-de58-485e-817a-1e64839943aa
2,Charismatic Vanguard,a51764fe-0d75-4cfa-a699-0d9e7ffb7843
2,Charmed Stray,357513b9-0505-4b67-9a29-36a705a175b1
2,Chart a Course,233beaac-37a4-4824-8f31-438b6bfe794b
2,Child of Night,3867704d-d2ef-4185-b53d-84eba6a6776f
1,Child of the Volcano,e964f026-9cbf-4fa2-acdc-60d19b88f183
1,"Chimil, the Inner Sun",27a1bfb5-ddfc-49cf-baa3-5d1958d2067a
1,"Chimil, the Inner Sun",cfb49910-30fe-483e-b3b8-6268417f013c
1,Chitin Gravestalker,903b4141-04a3-44c4-9d3e-aa2a773d9883
1,Chrome Prowler,a94378a2-cbde-4adf-b889-43e90fc6ba28
1,Chronic Flooding,1a757425-3cf2-4aca-b415-5ec2d5f753fe
1,Chronomaton,787b6916-3fce-41dd-ab52-f17546fd04ed
1,Chupacabra Echo,bdd8eed6-91da-4454-a5e3-7bbfac614f47
1,Citadel Siege,9c13bc7c-a536-44d0-8c89-49ff33bee326
2,City Pigeon,56d67fb4-5b23-432c-9ffb-39545035c117
2,Clandestine Meddler,2e069de0-3218-456c-b191-93e755634783
2,Clay-Fired Bricks // Cosmium Kiln,8aece300-656b-4e0d-a45f-aa7feaff0a4e
1,Clear Shot,88b8905b-68d3-491b-b7fe-eed74841e9a0
1,Cleric of the Forward Order,435b24ae-590f-4a79-8aeb-b006de6545ca
1,Cliffhaven Sell-Sword,7f334767-4353-4379-a934-fa67075db439
1,Clinging Anemones,4e183069-096d-4977-8154-e7b60f17a787
1,Clinquant Skymage,36012810-0e83-4640-8ba7-7262229f1b84
1,Clockwork Drawbridge,037cb79c-163d-4b36-bd93-954eca8fe26e
1,Close Encounter,a8a77351-9115-470f-8141-222c1916b337
1,Cloudheath Drake,7f71ec76-47e1-4f55-bc57-e7b1c88baedd
2,Cloudsculpt Technician,51077a54-15cf-4088-8e84-088d72e8e861
1,Cloudspire Coordinator,eef16cda-9150-4e7d-8490-d9f287b81b62
2,Coati Scavenger,d2c70d86-1764-487d-a415-15ae79ba570c
1,Cogwork Wrestler,a9d329ad-6b19-4aa7-a53f-38c7b76c4c96
1,Collision Course,6b60da34-b622-42de-a249-79545bcbf30d
2,Colossadactyl,8702e776-be2c-48a9-9bc5-bb8ea514333b
1,Coma Veil,2d5b820c-fd07-4e1f-9451-da9267347acd
1,Combustion Man,86f7399d-6876-4e85-ba34-ff1f97dc144a
1,Combustion Technique,fdcca576-2ef2-44cc-9944-a92bd146444a
1,Comeuppance,ec191a2f-12b1-438b-b2fe-f88fb82d9b87
2,Command Bridge,247670d2-a7cd-4ed7-9c77-704c7962b815
1,Commander's Authority,08ef4383-11e7-4426-a04a-058570f46e47
1,Commander's Sphere,0851660f-fa02-4f08-b28b-10279c58d4e4
2,Common Crook,6f5872df-e692-44aa-b18d-22447f5f274c
2,Commune with Nature,5224eec3-2941-4d16-a713-099e34e93eee
4,Compass Gnome,10e1030e-2b95-4807-9111-e495a2fc8813
1,Compassionate Healer,88d5f8fd-d4de-4e64-9b74-e53719ffbcdc
2,Compassionate Healer,88d5f8fd-d4de-4e64-9b74-e53719ffbcdc
1,Compelled Duel,2a7e501d-943e-4e6d-9d8e-6bedc32a0dd8
1,Compleat Devotion,2bb29a69-3e42-4268-8026-f01072d7b56c
1,Compulsory Rest,11cb3a5b-beee-4f53-a6b5-e9b5603546fa
1,Confiscate,581dca85-a880-4ea2-a483-072bb50b7aee
2,Confounding Riddle,f2ae23db-c391-402c-9568-65447cada66e
1,Connecting the Dots,8e02731a-8698-4b41-99c3-f0a19fc31430
2,Consider,4f28e706-c488-4525-ad8a-977a5fa77f80
